section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,222/Cİ-7163,Krem,#e9cbaf,"233, 203, 175",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,229/Cİ-7182,Şampanya,#ead2b0,"234, 210, 176",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,21/Cİ-6291,Açık Fildişi,#e9d8bd,"233, 216, 189",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6630/Cİ-6630,Beyaz Çikolata,#e4dbce,"228, 219, 206",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4132/Cİ-6485,Zengin Kahve,#675853,"103, 88, 83",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4082/Cİ-6382,Süt Köpüğü,#dfd4c6,"223, 212, 198",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4023/Cİ-6245,Elegan Toprak,#88786d,"136, 120, 109",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4021/Cİ-6243,Taş Kahve,#ac9f95,"172, 159, 149",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4020/Cİ-6242,Açık Vizon,#b4a8a0,"180, 168, 160",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4019/Cİ-6241,Koyu Krem,#cdbeb3,"205, 190, 179",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4077/Cİ-6371,Dolmabahçe,#ddd1c4,"221, 209, 196",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4136/Cİ-6494,Kadife Kahve,#968070,"150, 128, 112",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4043/Cİ-6295,Elegan Bej,#c2af9d,"194, 175, 157",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4166/Cİ-6555,Kabuk Tarçın,#97736c,"151, 115, 108",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4165/Cİ-6554,Dinamik Kum,#ad9087,"173, 144, 135",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4158/Cİ-6542,Mutlu Somon,#d5c1b6,"213, 193, 182",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4099/Cİ-6415,Kavrulmuş Badem,#967c76,"150, 124, 118",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4098/Cİ-6414,Sonbahar Akşamı,#b9a19c,"185, 161, 156",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4097/Cİ-6413,Kum Gülü,#c8afa8,"200, 175, 168",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4096/Cİ-6412,Bermuda Kumu,#d1bfb8,"209, 191, 184",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4219/Cİ-7065,Mistik Lila,#9a7e85,"154, 126, 133",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
